2024-06-22 11:11:59 - Logger started
2024-06-22 11:11:59 - Program started
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:00 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
2024-06-22 11:12:01 - server not ready
